01	0:00	01	1 · THE DISTURBANCE	NAMED AFTER THUNDER	The āyah on the wall lives inside a storm
02	0:30	02	1 · THE DISTURBANCE	AR-RAʿD	Sūrah 13 — "The Thunder"
03	1:00	04	1 · THE DISTURBANCE	HEAVY WITH RAIN	Clouds dragged across the sky
04	1:30	06	1 · THE DISTURBANCE	THAT IS THE ROOM	Weather, voltage, noise — air gone metallic
05	2:00	08	2 · ṬUMAʾNĪNAH	WHAT ENGLISH DROPS	"Peace" is not the word
06	2:30	10	2 · ṬUMAʾNĪNAH	LOW AND LEVEL	The classical lexicons use it for ground
07	3:00	11	2 · ṬUMAʾNĪNAH	DISTURBED, THEN AT REST	Not something never disturbed
08	3:30	13	3 · WHAT WE WALK TOWARD	ONE SHIFT	Everything in this study grows out of it
09	4:00	15	3 · WHAT WE WALK TOWARD	A NAME, NOT A MOOD	What Allah calls somebody by
10	4:30	16	4 · A REQUIREMENT FIRST	A LEGAL REQUIREMENT	Ṭumaʾnīnah inside your ṣalāh
11	5:00	18	4 · A REQUIREMENT FIRST	THREE TIMES OVER	Same question, same answer
12	5:30	20	4 · A REQUIREMENT FIRST	THE HALF-SECOND	Every joint stops before you go on
13	6:00	22	5 · THE SENTENCE NOBODY QUOTES	"WHY NO SIGN?"	The objection āyah 27 is answering
14	6:30	24	5 · THE SENTENCE NOBODY QUOTES	NOT A MIRACLE	A description of who receives guidance
15	7:00	25	5 · THE SENTENCE NOBODY QUOTES	THE SENTENCE CONTINUES	Āyah 28 does not start fresh
16	7:30	27	5 · THE SENTENCE NOBODY QUOTES	FROM THE OUTSIDE	What the one who turned back looks like
17	8:00	29	5 · THE SENTENCE NOBODY QUOTES	ONE MORE LINE	The passage does not stop at 28
18	8:30	30	5 · THE SENTENCE NOBODY QUOTES	THE MIDDLE, NOT THE END	The journey finishes somewhere else
19	9:00	32	6 · THE ROOT ACROSS THE QURʾĀN	IBRĀHĪM ASKS	"Show me how You give life to the dead"
20	9:30	34	6 · THE ROOT ACROSS THE QURʾĀN	NOT REBUKED	He asked — and he was shown
21	10:00	35	6 · THE ROOT ACROSS THE QURʾĀN	BADR	Angels sent to a badly outnumbered army
22	10:30	37	6 · THE ROOT ACROSS THE QURʾĀN	THE RETURN TO NORMAL	Shortened prayer, and the same root
23	11:00	39	6 · THE ROOT ACROSS THE QURʾĀN	MORALLY NEUTRAL	The question is what it comes to rest on
24	11:30	41	7 · WHO THIS IS ABOUT	TWO READINGS	Continuous with 27 — or standing alone
25	12:00	42	7 · WHO THIS IS ABOUT	BOTH LAND HERE	The argument is not settled. The place is.
26	12:30	44	8 · IT IS SENT DOWN	SAKĪNAH	A second word in this territory — different root
27	13:00	46	8 · IT IS SENT DOWN	THE VERB FOR RAIN	The same verb used for revelation
28	13:30	48	9 · DHIKR	DH — K — R	Dhāl, kāf, rāʾ
29	14:00	49	9 · DHIKR	MENTION AND REMEMBER	Saying a thing out loud
30	14:30	51	9 · DHIKR	AL-DHIKR	The Qurʾān's name for itself
31	15:00	53	9 · DHIKR	MAʿĪSHATAN ḌANKĀ	Turn away, and the life constricts
32	15:30	54	10 · THE NAME AT THE END	ONE MORE PLACE	And it changes the tone of everything
33	16:00	56	10 · THE NAME AT THE END	LEVEL UPON LEVEL	The earth pounded flat
34	16:30	58	10 · THE NAME AT THE END	AL-MUṬMAʾINNAH	Ṭāʾ, mīm, hamza, nūn — the same root
35	17:00	60	10 · THE NAME AT THE END	"SETTLED SOUL — RETURN"	Not: become settled, then return
36	17:30	62	11 · SETTLED IS NOT NUMB	NOT NUMB	A settled heart is not an unfeeling one
37	18:00	63	11 · SETTLED IS NOT NUMB	YAʿQŪB GRIEVES	Until his eyes go white from it
38	18:30	65	11 · SETTLED IS NOT NUMB	THE EYE SHEDS TEARS	"…and the heart grieves"
39	19:00	67	11 · SETTLED IS NOT NUMB	MOVE ON PURPOSE	Instead of being moved
40	19:30	69	12 · THE SILT	NOTHING WAS ADDED	Everything in it is suspended
41	20:00	71	12 · THE SILT	SET IT DOWN	And leave it
42	20:30	72	12 · THE SILT	THE SILT STAYS	It is still in the glass
43	21:00	74	13 · THE CAVE	MOUNT THAWR	Two men in a cave
44	21:30	76	13 · THE CAVE	NO EXIT	No weapon, no plan anyone can see
45	22:00	78	13 · THE CAVE	SENT DOWN	"So Allah sent down His sakīnah upon him"
46	22:30	80	13 · THE CAVE	"DO NOT GRIEVE"	You only say it to someone already grieving
47	23:00	81	13 · THE CAVE	NOT A CORRECTION	What arrived was a floor
48	23:30	83	14 · ON A TUESDAY	NOT ON DEMAND	Wanting it badly enough is not the method
49	24:00	85	14 · ON A TUESDAY	REACHING INTO THE GLASS	Thinking harder is more stirring
50	24:30	86	14 · ON A TUESDAY	FIVE TIMES A DAY	The training is already built into your day
51	25:00	88	14 · ON A TUESDAY	STOP RUSHING	He was not told to feel more
52	25:30	90	14 · ON A TUESDAY	SAY LESS	Sit with them
53	26:00	92	15 · CLOSE	HOW A HEART IS BUILT	Spoken inside a sūrah named after thunder
54	26:30	93	15 · CLOSE	SEE THROUGH THE WATER	The heavy thing does not have to leave
55	27:00	95	15 · CLOSE	AL-MUṬMAʾINNAH	May Allah make yours one of the settled ones
